City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,kalianget,-7.05,113.93,81.72,77,76,3.96,ID,1590447532
309,cockburn town,21.46,-71.14,81.16,86,76,14.14,TC,1590447609
310,isangel,-19.55,169.27,78.8,74,20,11.72,VU,1590447829
311,kushmurun,52.45,64.63,57.43,60,4,17.18,KZ,1590447829
312,tiarei,-17.53,-149.33,82.4,78,75,5.82,PF,1590447829
313,tuatapere,-46.13,167.68,50.52,81,94,2.62,NZ,1590447830
314,opuwo,-18.06,13.84,53.94,69,1,2.17,NA,1590447618
315,yellowknife,62.46,-114.35,46.4,49,20,10.29,CA,1590447830
316,peterhead,57.51,-1.8,57.2,62,100,8.05,GB,1590447830
317,ola,59.58,151.28,41.54,74,83,5.57,RU,1590447830
318,okato,-39.2,173.88,55.0,76,88,15.01,NZ,1590447831
319,zverinogolovskoye,54.46,64.85,51.24,73,1,9.1,RU,1590447831
320,punta de piedra,7.62,-71.49,78.03,88,48,2.15,VE,1590447831
321,grand-lahou,5.14,-5.02,77.5,90,100,1.57,CI,1590447831
322,lompoc,34.64,-120.46,77.0,60,1,13.87,US,1590447832
323,schubelbach,47.17,8.93,52.0,74,6,1.99,CH,1590447832
324,talnakh,69.49,88.4,33.8,74,40,6.71,RU,1590447832
325,borba,-4.39,-59.59,75.92,93,39,1.45,BR,1590447832
326,puerto leguizamo,-0.19,-74.78,74.66,97,45,2.39,CO,1590447832
327,kingsville,27.52,-97.86,80.6,74,40,11.41,US,1590447832
328,taoudenni,22.68,-3.98,90.93,18,6,6.96,ML,1590447832
329,bubaque,11.28,-15.83,78.85,82,0,16.67,GW,1590447832
330,acajutla,13.59,-89.83,91.4,49,20,3.36,SV,1590447832
331,cuiluan,47.72,128.65,49.01,90,100,4.27,CN,1590447833
332,batagay-alyta,67.8,130.41,51.8,76,65,3.02,RU,1590447833
333,kamaishi,39.27,141.88,63.55,65,100,2.48,JP,1590447833
334,cape coast,5.11,-1.25,77.86,87,100,1.21,GH,1590447580
335,nikki,9.94,3.21,76.8,80,99,6.24,BJ,1590447833
336,shafranovo,53.97,54.77,45.23,90,0,4.41,RU,1590447833
337,poshtove,44.83,33.95,48.85,78,89,2.01,UA,1590447833
338,mabaruma,8.2,-59.78,78.01,85,88,4.76,GY,1590447833
339,portland,45.52,-122.68,68.0,72,75,3.36,US,1590447827
340,panama city,8.99,-79.52,84.99,79,40,4.7,PA,1590447834
341,zhicheng,30.3,111.5,66.0,96,91,2.77,CN,1590447834
342,ahuimanu,21.44,-157.84,82.4,58,40,9.17,US,1590447834
343,port macquarie,-31.43,152.92,64.0,80,78,3.0,AU,1590447834
344,galesong,-5.32,119.37,77.0,100,20,1.12,ID,1590447834
345,forbes,-33.38,148.02,50.18,75,22,3.29,AU,1590447835
346,labuan,5.28,115.24,78.8,100,75,5.79,MY,1590447641
347,parakan,-6.42,106.01,75.67,93,100,1.43,ID,1590447835
